OID_,ID,area_m2,length_m,width_m
0,0,180.14,30,6
1,1,231.01,58,24
2,2,64.81,31,4
3,3,90.07,15,6
4,4,337.82,53,21
5,5,49.76,17,4
6,6,7819.85,183,72
7,7,1418.95,83,25
8,8,24.30,13,4
9,9,95.69,18,8
10,10,12.30,6,4
11,11,18.60,8,6
12,12,57.71,9,7
13,13,12.16,7,3
14,14,24.20,7,7
15,15,1401.48,54,38
16,16,18.60,8,6
17,17,1055.95,54,26
18,18,12.16,6,4
19,19,153.99,26,10
20,20,18.60,8,6
21,21,24.20,8,6
22,22,12.16,7,3
23,23,69.50,14,7
24,24,18.05,9,5
25,25,404.15,24,20
26,26,1134.36,66,36
27,27,9712.90,193,103
28,28,12.30,6,4
29,29,12.16,7,3
30,30,457.33,33,23
31,31,12.30,6,4
32,32,12.16,7,3
33,33,22.47,11,5
34,34,12.16,7,3
35,35,2133.12,79,39
36,36,1927.11,67,42
37,37,1848.87,55,41
38,38,4288.52,127,60
39,39,240.30,21,15
40,40,12.16,7,3
41,41,431.20,25,24
42,42,14743.82,164,121
43,43,1132.58,45,40
44,44,345.21,30,17
45,45,1217.55,60,30
46,46,3333.97,71,64
47,47,18.01,6,3
48,48,9094.76,158,109
49,49,12.30,7,4
50,50,57.76,13,9
51,51,38.09,15,12
52,52,110.62,27,7
53,53,12.30,6,4
54,54,54.04,9,6
55,55,2085.85,87,52
56,56,7919.10,183,76
57,57,108.08,12,9
58,58,468.68,41,21
59,59,630.70,41,21
60,60,18.60,8,6
61,61,18.60,8,6
62,62,12.16,7,3
63,63,24.20,8,6
64,64,26282.57,219,200
65,65,120.76,19,13
66,66,2891.91,98,60
67,67,12.16,7,3
68,68,135.77,19,12
69,69,414.50,59,21
70,70,1927.05,56,44
71,71,18.60,8,6
72,72,12.30,6,4
73,73,8096.88,158,128
74,74,38.09,15,12
75,75,566.88,39,21
76,76,18.05,10,4
77,77,1451.11,53,43
78,78,61.57,14,7
79,79,203.53,25,20
80,80,18.05,10,4
81,81,54.26,16,5
82,82,12.16,7,3
83,83,72.06,12,6
84,84,24.20,8,6
85,85,62495.60,537,354
86,86,1589.73,71,40
87,87,1544.45,79,33
88,88,2050.50,105,30
89,89,1306.66,57,32
90,90,1909.11,66,42
91,91,47.68,10,7
92,92,55.56,15,7
93,93,18.59,9,5
94,94,12.16,7,3
95,95,7131.62,102,97
96,96,31.71,13,10
97,97,18.05,10,4
98,98,10.47,7,3
99,99,12.30,6,4
100,100,18.05,10,4
101,101,11421.50,199,90
102,102,109.15,15,8
103,103,90.07,15,6
104,104,27.02,9,3
105,105,129.57,25,10
106,106,10.47,7,3
107,107,18.59,8,6
108,108,583.19,36,23
109,109,48.10,12,5
110,110,12.30,6,4
111,111,12.16,7,3
112,112,12.30,6,4
113,113,3097.65,142,45
114,114,40.96,8,6
115,115,7377.73,134,122
116,116,662.26,37,37
117,117,45.32,13,9
118,118,544.10,61,17
119,119,1256.26,89,35
120,120,12.57,5,5
121,121,12.30,6,4
122,122,12.30,6,4
123,123,64.81,16,9
124,124,2934.16,84,51
125,125,1348.33,48,42
126,126,1244.16,45,40
127,127,12.30,6,4
128,128,12.16,7,3
129,129,330.16,29,26
130,130,1964.57,84,41
131,131,777.81,40,30
132,132,600.62,29,28
133,133,25.10,10,8
134,134,495.40,55,15
135,135,12.30,6,4
136,136,868.39,44,29
137,137,12.30,6,4
138,138,471.46,34,23
139,139,505.50,30,23
140,140,12.57,5,5
141,141,12.30,7,4
142,142,143.03,24,16
143,143,204.43,20,15
144,144,433.85,45,23
145,145,18.59,8,6
146,146,54.04,9,6
147,147,16413.98,158,149
148,148,39.99,11,8
149,149,38.09,15,12
150,150,24.20,8,6
151,151,1783.51,60,40
152,152,12.16,6,4
153,153,1193.36,88,29
154,154,18.59,8,6
155,155,18.05,10,4
156,156,211.52,23,14
157,157,245.07,31,12
158,158,44.28,10,8
159,159,12.30,6,4
160,160,39.71,13,9
161,161,21.14,7,6
162,162,215.20,20,16
163,163,848.15,54,30
164,164,135.11,15,9
165,165,18.06,10,4
166,166,12.30,7,4
167,167,24.20,8,6
168,168,157.25,30,10
169,169,12.16,7,3
170,170,99.08,15,9
171,171,12877.31,180,164
172,172,29.03,8,7
173,173,364.04,28,25
174,174,76.88,15,9
175,175,672.52,40,33
176,176,18.05,10,4
177,177,31.70,13,10
178,178,18.59,8,6
179,179,18.59,9,5
180,180,116.80,24,14
181,181,12.16,7,3
182,182,6471.72,132,93
183,183,12.30,7,4
184,184,65.06,24,20
185,185,589.43,74,15
186,186,576.21,57,17
187,187,603.95,65,16
188,188,128.37,22,11
189,189,18.59,8,6
190,190,637.21,46,21
191,191,186.13,64,6
192,192,12.16,7,3
193,193,12.30,7,4
194,194,18.05,10,4
195,195,24.20,8,6
196,196,24.20,8,6
197,197,56.60,13,9
198,198,20.87,7,6
199,199,614.02,34,24
200,200,943.25,61,36
201,201,6312.83,119,74
202,202,54.04,9,6
203,203,18.59,8,6
204,204,54.04,9,6
205,205,459.91,65,12
206,206,409.47,57,15
207,207,18.05,10,4
208,208,12.16,7,3
209,209,18.59,8,6
210,210,2874.97,93,61
211,211,107.54,13,13
212,212,18.01,6,3
213,213,12.16,6,4
214,214,12.16,7,3
215,215,227.19,37,14
216,216,1747.03,90,34
217,217,4979.01,91,73
218,218,38813.33,238,237
219,219,18.05,10,4
220,220,54.04,9,6
221,221,90.18,16,9
222,222,24.20,8,6
223,223,12.16,7,3
224,224,103.95,15,13
225,225,4553.25,80,79
226,226,4524.62,124,54
227,227,18.05,10,4
228,228,44.88,7,7
229,229,19704.12,216,152
230,230,144.11,24,6
231,231,12.30,6,4
232,232,24.20,7,6
233,233,1050.59,55,25
234,234,31.90,9,7
235,235,12.30,6,4
236,236,66.38,16,6
237,237,13335.10,159,117
238,238,25.09,10,8
239,239,485.16,61,30
240,240,38.09,15,12
241,241,67.53,11,9
242,242,90.07,15,6
243,243,18.01,6,3
244,244,24.30,13,4
245,245,108.08,12,9
246,246,1406.50,69,44
247,247,18.05,10,4
248,248,11560.97,150,116
249,249,318.67,30,24
250,250,112.70,15,14
251,251,77.82,16,9
252,252,92.25,21,6
253,253,27.02,9,3
254,254,3445.42,95,87
255,255,12.56,6,4
256,256,108.43,12,12
257,257,18.05,10,4
258,258,141.54,15,12
259,259,134.55,15,13
260,260,210.87,19,15
261,261,12.16,7,3
262,262,12.30,6,4
263,263,474.49,63,15
264,264,157.28,22,12
265,265,93.07,23,7
266,266,12.30,6,4
267,267,12.30,6,4
268,268,178.84,19,13
269,269,12.16,7,3
270,270,18.01,6,3
271,271,60.35,16,8
272,272,72.06,12,6
273,273,12.16,7,3
274,274,125.37,28,7
275,275,452.28,62,19
276,276,2083.00,76,39
277,277,32.97,9,6
278,278,18.01,6,3
279,279,177.42,17,17
280,280,1169.30,65,26
281,281,32.97,9,6
282,282,24.20,7,7
283,283,465.05,31,27
284,284,515.07,56,19
285,285,2086.65,60,50
286,286,252.14,23,17
287,287,24.30,13,4
288,288,33.84,11,6
289,289,12.16,7,3
290,290,2863.62,67,64
291,291,886.43,44,38
292,292,3329.38,110,39
293,293,24.20,8,6
294,294,12.30,7,4
295,295,4060.09,125,58
296,296,14739.66,167,130
297,297,978.19,56,30
298,298,31.90,9,7
299,299,12.30,6,4
300,300,8499.32,110,108
301,301,12.30,6,4
302,302,1361.04,50,47
303,303,12.30,6,4
304,304,3826.05,133,51
305,305,699.44,53,27
306,306,14081.56,146,128
307,307,958.15,60,23
308,308,54.04,9,6
309,309,1285.93,77,44
310,310,12.30,6,4
311,311,3531.49,137,58
312,312,175.99,17,15
313,313,12.16,7,3
314,314,1042.30,47,38
315,315,12.16,7,3
316,316,150.71,24,10
317,317,12.16,7,3
318,318,73.60,12,7
319,319,52.39,16,8
320,320,105.73,18,12
321,321,2621.45,77,48
322,322,2286.38,99,45
323,323,11627.42,160,98
324,324,4843.32,151,54
325,325,54.04,9,6
326,326,18.01,6,3
327,327,92.20,17,8
328,328,116.40,20,9
329,329,54.04,9,6
330,330,81.06,9,9
331,331,186.28,25,15
332,332,1819.12,88,47
333,333,24.20,8,6
334,334,39.99,14,6
335,335,566.71,38,21
336,336,30.90,16,4
337,337,25.09,10,8
338,338,592.40,36,26
339,339,1540.43,91,31
340,340,448.48,63,14
341,341,144.83,16,14
342,342,2791.03,118,50
343,343,174.00,22,17
344,344,3346.28,98,57
345,345,18.05,10,4
346,346,177.54,26,12
347,347,1143.96,44,32
348,348,2666.97,82,49
349,349,90.07,15,6
350,350,306.66,61,12
351,351,467.25,31,18
352,352,25.09,10,8
353,353,6079.33,167,64
354,354,216.17,36,6
355,355,2096.94,64,49
356,356,40954.91,370,223
357,357,2119.59,116,35
358,358,12.30,6,4
359,359,12.16,6,4
360,360,12.16,7,3
361,361,24.20,8,6
362,362,2461.33,104,57
363,363,41590.01,395,230
364,364,21.34,7,6
365,365,1321.61,47,45
366,366,1111.49,68,32
367,367,4968.88,96,63
368,368,765.66,34,31
369,369,12.56,6,4
370,370,1574.14,46,45
371,371,12.16,6,4
372,372,90.18,16,9
373,373,18.59,8,6
374,374,5333.17,148,66
375,375,1505.47,78,35
376,376,3775.16,112,58
377,377,1173.21,41,37
378,378,1360.07,86,24
379,379,24.20,8,6
380,380,239.17,31,12
381,381,1032.59,36,33
382,382,65.22,16,7
383,383,54.04,9,6
384,384,720.64,34,28
385,385,25144.36,237,150
386,386,31.71,13,10
387,387,554.71,32,24
388,388,12.30,6,4
389,389,435.64,29,23
390,390,678.04,42,29
391,391,37061.33,316,162
392,392,15957.73,168,139
393,393,4572.51,84,72
394,394,63.16,10,9
395,395,103.94,15,10
396,396,126.87,15,13
397,397,18.05,10,4
398,398,12.16,7,3
399,399,12.30,7,4
400,400,12.30,6,4
401,401,54.04,9,6
402,402,29.03,8,7
403,403,21464.44,264,139
404,404,735.16,47,28
405,405,543.21,42,17
406,406,1136.08,66,24
407,407,5497.99,95,73
