OID,area_m2,length_m,width_m,name
0,5113.134177,109.061,64.451,Jones2021_ASM
1,11336.81013,201.708,83.799,Jones2021_ASM
2,5138.898702,113.911,58.472,Jones2021_ASM
3,5553.995298,105.194,65.804,Jones2021_ASM
4,8935.948036,147.85,74.569,Jones2021_ASM
5,7566.485871,118.65,86.36,Jones2021_ASM
6,3488.859565,107.872,50.561,Jones2021_ASM
7,19121.76429,225.611,133.434,Jones2021_ASM
8,4374.377364,84.042,69.139,Jones2021_ASM
9,14493.47674,140.233,131.166,Jones2021_ASM
10,6469.263835,143.23,67.713,Jones2021_ASM
11,10136.1095,190.028,73.085,Jones2021_ASM
12,16928.23695,188.889,122.414,Jones2021_ASM
13,8025.333376,143.475,75.172,Jones2021_ASM
14,4996.576831,94.238,71.081,Jones2021_ASM
15,5919.763324,105.298,79.182,Jones2021_ASM
16,20422.97135,184.816,145.062,Jones2021_ASM
17,11034.9656,182.245,81.64,Jones2021_ASM
18,2112.459933,74.782,40.704,Jones2021_ASM
19,4965.95368,93.624,70.126,Jones2021_ASM
20,3660.403278,99.213,52.953,Jones2021_ASM
21,4098.908931,110.533,51.197,Jones2021_ASM
22,6817.889378,107.784,88.666,Jones2021_ASM
23,2964.555047,66.048,64.847,Jones2021_ASM
24,4019.349836,92.091,62.945,Jones2021_ASM
25,9563.506036,165.168,76.27,Jones2021_ASM
26,11024.77679,200.117,71.827,Jones2021_ASM
27,10862.96352,163.531,92.916,Jones2021_ASM
28,16986.61537,182.815,126.463,Jones2021_ASM
29,8806.022344,150.397,82.398,Jones2021_ASM
30,2541.351761,80.736,45.801,Jones2021_ASM
31,7938.842132,155.639,63.112,Jones2021_ASM
32,11326.74931,156.623,105.026,Jones2021_ASM
33,3664.954689,93.519,56.534,Jones2021_ASM
34,2853.459257,67.945,58.279,Jones2021_ASM
35,4754.190066,95.524,64.863,Jones2021_ASM
36,5122.553394,102.214,70.676,Jones2021_ASM
37,3674.962417,78.047,62.579,Jones2021_ASM
38,7109.110521,149.521,67.203,Jones2021_ASM
39,6232.092865,139.513,60.754,Jones2021_ASM
40,3273.696595,98.096,45.64,Jones2021_ASM
41,827.5606345,35.327,31.92,Jones2021_ASM
42,5585.491761,118.768,66.387,Jones2021_ASM
43,1929.50336,50.53,48.613,Jones2021_ASM
44,10715.07554,148.932,88.25,Jones2021_ASM
45,10118.18851,180.043,85.446,Jones2021_ASM
46,2140.459958,80.819,36.326,Jones2021_ASM
47,3262.776579,90.748,53.533,Jones2021_ASM
48,4604.621555,83.918,75.348,Jones2021_ASM
49,9223.810398,132.078,96.642,Jones2021_ASM
50,8222.040523,169.17,69.97,Jones2021_ASM
51,5407.014602,115.739,65.293,Jones2021_ASM
52,5254.829329,127.976,61.952,Jones2021_ASM
53,1101.59389,55.674,25.828,Jones2021_ASM
54,12546.32879,144.271,127.399,Jones2021_ASM
55,5409.605195,110.36,67.189,Jones2021_ASM
56,4799.692071,86.17,74.825,Jones2021_ASM
57,12403.93996,228.895,82.37,Jones2021_ASM
58,9102.279989,140.02,94.386,Jones2021_ASM
59,8210.701368,145.776,76.48,Jones2021_ASM
60,10164.1081,174.405,84.964,Jones2021_ASM
61,27367.43184,196.363,187.946,Jones2021_ASM
62,7594.832311,135.81,74.55,Jones2021_ASM
63,4959.376055,109.018,62.434,Jones2021_ASM
64,21413.57343,194.711,138.991,Jones2021_ASM
65,3755.046187,107.746,48.113,Jones2021_ASM
66,8611.68555,136.285,90.765,Jones2021_ASM
67,4414.775341,135.233,51.996,Jones2021_ASM
68,14183.18266,182.616,116.565,Jones2021_ASM
69,2631.609951,83.58,42.977,Jones2021_ASM
70,3933.384259,106.183,56.481,Jones2021_ASM
71,5374.11482,105.029,70.741,Jones2021_ASM
72,22796.8608,309.685,96.384,Jones2021_ASM
73,12240.45248,156.116,102.465,Jones2021_ASM
74,6285.295643,138.103,68.656,Jones2021_ASM
75,9187.265884,150.437,91.378,Jones2021_ASM
76,6711.484721,131.738,63.585,Jones2021_ASM
77,22100.739,209.4,146.249,Jones2021_ASM
78,5028.302338,107.745,64.617,Jones2021_ASM
79,14270.29914,188.039,115.27,Jones2021_ASM
80,9364.867905,166.528,78.042,Jones2021_ASM
81,6360.899458,109.813,76.959,Jones2021_ASM
82,5849.029697,114.126,67.453,Jones2021_ASM
83,11983.03067,204.578,82.965,Jones2021_ASM
84,5916.226138,139.022,58.963,Jones2021_ASM
85,9375.020858,117.17,99.012,Jones2021_ASM
86,5915.107303,132.255,61.51,Jones2021_ASM
87,8666.221396,119.133,91.988,Jones2021_ASM
88,9129.720226,109.07,108.476,Jones2021_ASM
89,5358.991131,133.191,52.537,Jones2021_ASM
90,3753.995514,73.431,70.197,Jones2021_ASM
91,12521.44824,168.681,99.95,Jones2021_ASM
92,5230.604141,107.271,61.537,Jones2021_ASM
93,4166.148065,95.121,61.618,Jones2021_ASM
94,1872.485381,68.013,37.912,Jones2021_ASM
95,3711.364815,76.938,63.411,Jones2021_ASM
96,8006.848421,139.833,84.813,Jones2021_ASM
97,12100.0177,184.915,92.385,Jones2021_ASM
98,4504.520358,106.162,59.808,Jones2021_ASM
99,2055.51018,75.65,34.715,Jones2021_ASM
100,12877.34977,166.744,94.418,Jones2021_ASM
101,20826.64626,324.568,88.807,Jones2021_ASM
102,16573.86886,182.786,118.001,Jones2021_ASM
103,3858.058804,114.769,45.314,Jones2021_ASM
104,4162.684199,140.535,44.564,Jones2021_ASM
105,4606.862823,117.247,50.381,Jones2021_ASM
106,3447.72518,68.663,66.149,Jones2021_ASM
107,9017.712188,179.203,76.198,Jones2021_ASM
108,7488.042476,145.522,71.012,Jones2021_ASM
109,8885.480665,177.74,72.14,Jones2021_ASM
110,18231.83236,251.557,116.465,Jones2021_ASM
111,15309.72441,283.105,78.645,Jones2021_ASM
112,16388.91594,253.609,112.736,Jones2021_ASM
113,4436.751509,84.907,70.753,Jones2021_ASM
114,8920.341689,139.452,85.765,Jones2021_ASM
115,11774.77757,227.617,81.63,Jones2021_ASM
116,8191.661096,165.542,63.127,Jones2021_ASM
117,7797.953017,142.211,70.101,Jones2021_ASM
118,14463.83587,276.53,101.218,Jones2021_ASM
119,3439.849758,91.179,53.212,Jones2021_ASM
120,2706.554481,84.669,47.453,Jones2021_ASM
121,11349.88576,191.32,85.053,Jones2021_ASM
