OID_,OBJECTID,area_m2,length_m,width_m
0,1,971012.71,2444.00,687.00
1,2,6510.39,240.00,68.00
2,3,46399.06,666.00,228.00
3,4,34457.25,626.00,136.00
4,5,4571.30,133.00,52.00
5,6,7865.02,193.00,87.00
6,7,8120.53,147.00,72.00
7,8,10539.20,523.00,100.00
8,9,27730.06,341.00,159.00
9,10,10620.54,355.00,81.00
10,11,12172.64,322.00,100.00
11,12,4707.18,233.00,55.00
12,13,11830.22,279.00,127.00
13,14,6642.04,114.00,95.00
14,15,1886.20,125.00,43.00
15,16,4961.93,161.00,67.00
16,17,4301.09,173.00,45.00
17,18,5439.08,252.00,70.00
18,19,2188.63,116.00,30.00
19,20,11079.77,430.00,93.00
20,21,27594.14,422.00,127.00
21,22,5015.69,163.00,55.00
22,23,19969.33,327.00,131.00
23,24,13085.14,140.00,136.00
24,25,8401.72,224.00,76.00
25,26,32415.79,389.00,123.00
26,27,6982.71,280.00,51.00
27,28,8758.90,169.00,76.00
28,29,23958.78,237.00,156.00
29,30,17828.98,394.00,123.00
30,31,5464.47,209.00,43.00
31,32,52442.56,1115.00,204.00
32,33,22513.72,545.00,101.00
33,34,21694.45,481.00,94.00
34,35,37138.93,292.00,205.00
35,36,9595.63,125.00,108.00
36,37,6691.64,138.00,65.00
37,38,13020.01,176.00,120.00
38,39,12560.79,275.00,77.00
39,40,5336.36,111.00,64.00
40,41,35353.91,370.00,193.00
41,42,9950.74,308.00,73.00
42,43,5363.32,187.00,54.00
43,44,22809.93,196.00,182.00
44,45,23640.75,314.00,130.00
45,46,39388.37,427.00,144.00
46,47,32069.07,479.00,142.00
47,48,5044.92,174.00,67.00
48,49,22338.42,358.00,106.00
49,50,28267.45,373.00,115.00
50,51,35217.63,508.00,140.00
51,52,27778.23,526.00,107.00
52,53,27775.47,336.00,155.00
53,54,4946.34,97.00,64.00
54,55,5688.30,196.00,56.00
55,56,4400.87,121.00,51.00
56,57,1163.13,39.00,37.00
57,58,6407.16,142.00,89.00
58,59,4717.43,134.00,50.00
59,60,2158.22,71.00,40.00
60,61,7849.99,217.00,59.00
61,62,7152.91,117.00,111.00
62,63,13748.23,189.00,96.00
63,64,36615.55,306.00,216.00
64,65,4146.18,121.00,48.00
65,66,3635.12,78.00,59.00
66,67,28428.53,319.00,120.00
67,68,5956.38,138.00,84.00
68,69,2701.22,112.00,33.00
69,70,6887.17,116.00,80.00
70,71,3408.00,87.00,53.00
71,72,45790.27,647.00,183.00
72,73,28314.64,361.00,193.00
73,74,39379.19,575.00,173.00
74,75,21524.16,443.00,99.00
75,76,27917.26,450.00,134.00
76,77,68954.78,348.00,343.00
77,78,5330.99,239.00,50.00
78,79,20473.06,322.00,114.00
79,80,2389.33,97.00,32.00
80,81,17783.32,283.00,91.00
81,82,6731.63,116.00,80.00
82,83,8349.58,149.00,80.00
83,84,24594.96,442.00,101.00
84,85,12286.85,375.00,62.00
85,86,53430.65,479.00,228.00
86,87,13688.54,540.00,89.00
87,88,8621.74,347.00,90.00
88,89,12537.67,284.00,105.00
89,90,7823.53,141.00,70.00
90,91,3579.66,137.00,58.00
91,92,1289.67,65.00,32.00
92,93,23495.97,442.00,128.00
93,94,5744.25,106.00,82.00
94,95,9437.78,163.00,92.00
95,96,8083.60,144.00,68.00
96,97,22381.34,229.00,151.00
97,98,10291.69,132.00,116.00
98,99,12728.35,183.00,124.00
99,100,4917.41,205.00,40.00
100,101,28701.99,386.00,204.00
101,102,4252.30,180.00,54.00
102,103,6632.37,145.00,64.00
103,104,6866.10,113.00,74.00
104,105,35620.08,467.00,128.00
105,106,12868.88,329.00,94.00
106,107,5386.26,143.00,55.00
107,108,3997.07,94.00,54.00
108,109,3799.61,129.00,51.00
109,110,16303.55,197.00,139.00
110,111,2358.45,90.00,40.00
111,112,3306.63,102.00,50.00
112,113,2408.94,91.00,38.00
113,114,5316.58,104.00,72.00
114,115,4155.02,135.00,50.00
115,116,11736.85,343.00,96.00
116,117,1686.52,66.00,33.00
117,118,1931.40,74.00,35.00
118,119,3860.76,119.00,49.00
119,120,2703.42,79.00,47.00
120,121,2968.35,128.00,38.00
121,122,3249.74,104.00,49.00
122,123,7635.98,247.00,66.00
