OID_,Id,area_m2,length_m,width_m
0,0,5761.100232,250,60
1,0,947.5825403,59,26
2,0,1145.4506,40,37
3,0,1461.346449,76,25
4,0,376.274834,33,15
5,0,301.0198673,30,14
6,0,1169.077159,81,19
7,0,3455.603069,89,54
8,0,437.5288768,33,22
9,0,400.7764512,33,20
10,0,598.5395035,43,19
11,0,687.3753667,55,21
12,0,535.850366,35,22
13,0,571.4477155,61,15
14,0,400.7064466,56,12
15,0,511.8737836,32,21
16,0,8424.075988,211,98
17,0,3374.222698,170,41
18,0,1565.30331,75,30
19,0,13098.70451,269,121
20,0,1969.919077,92,33
21,0,2823.155078,94,43
22,0,3448.821372,146,43
23,0,945.499903,60,26
24,0,3674.148744,98,62
25,0,1804.369088,105,37
26,0,472.0936582,33,19
27,0,1500.505283,92,33
28,0,915.9667037,77,22
29,0,1410.374335,58,39
30,0,3124.612474,89,59
31,0,705.6465726,64,14
32,0,435.3587337,41,16
33,0,2725.638642,139,33
34,0,1826.963079,66,43
35,0,1276.936778,83,23
36,0,18008.79358,200,131
37,0,7901.98153,314,92
38,0,1167.152032,82,18
39,0,7165.252906,576,71
40,0,1479.477645,56,37
41,0,1408.352951,56,36
42,0,1101.172677,69,27
43,0,496.3327579,48,15
44,0,1752.915692,64,50
45,0,890.0387424,67,31
46,0,1243.982103,90,24
47,0,2535.427338,133,47
48,0,1469.957017,106,27
49,0,2889.134433,177,42
50,0,1398.928579,113,23
51,0,765.8155437,47,28
52,0,909.7800453,38,32
53,0,20458.39525,325,124
54,0,2653.239385,136,46
55,0,4198.912128,152,37
56,0,1902.72558,83,41
57,0,674.7745351,37,30
58,0,4227.263999,84,64
59,0,9598.05347,151,106
60,0,1155.496263,67,27
61,0,11338.22832,219,125
62,0,1359.314715,55,37
63,0,20027.44681,255,176
64,0,2191.424634,57,50
65,0,478.8316028,37,18
66,0,4284.842799,105,56
67,0,1101.592705,60,28
68,0,3758.408054,146,62
69,0,11035.52834,177,94
70,0,1869.963417,76,34
71,0,2518.48622,73,48
72,0,7953.044998,190,89
73,0,7333.123985,120,89
74,0,12425.05005,175,107
75,0,6898.010268,157,63
76,0,4983.628919,146,52
77,0,4015.885048,114,45
78,0,1348.288987,71,24
79,0,26166.88701,341,103
80,0,19074.19389,186,146
81,0,2161.987691,74,46
82,0,5118.457818,133,53
83,0,1245.90723,78,25
84,0,370.7794714,36,17
85,0,1514.339946,67,48
86,0,9080.439308,276,83
87,0,2945.234385,162,52
88,0,973.3442406,46,29
89,0,689.54551,44,26
90,0,5605.61997,237,45
91,0,2428.285266,115,32
92,0,1735.239526,77,31
93,0,1844.621745,96,33
94,0,1302.960995,69,30
95,0,1092.072076,124,16
96,0,604.6649079,62,14
97,0,1947.87856,89,32
98,0,16173.69246,278,113
99,0,14669.15924,259,101
100,0,3035.575348,78,57
101,0,661.5436617,60,19
102,0,1001.941128,50,30
103,0,13521.53242,393,83
104,0,2309.592433,119,28
105,0,853.0763029,62,24
106,0,412.047195,37,20
107,0,280.683525,27,15
108,0,950.3127206,83,14
109,0,857.5565986,70,18
110,0,996.6907815,110,14
111,0,294.0194053,25,18
112,0,20597.98446,185,135
113,0,2176.268633,131,27
114,0,5798.272685,218,62
115,0,4482.43084,199,38
116,0,19632.72576,472,128
117,0,7495.604709,338,80
118,0,4103.775849,78,75
119,0,923.0109187,46,28
120,0,290.1341488,28,14
121,0,329.8267685,31,18
122,0,5894.354027,207,52
123,0,150.8949591,26,9
124,0,131.9937115,21,11
125,0,40024.72163,416,142
126,0,10510.77371,241,104
127,0,20331.58188,313,180
128,0,14790.57618,145,141
129,0,1548.852224,83,29
130,0,1330.962843,95,28
131,0,2745.056173,71,50
132,0,2954.194976,177,39
133,0,1741.36493,97,29
134,0,879.4330425,51,27
135,0,4245.780221,163,47
136,0,2094.013205,82,39
137,0,1264.458454,81,29
138,0,1540.976704,63,33
139,0,2712.679037,125,47
140,0,690.4205677,33,30
141,0,758.6750725,56,20
142,0,474.2813025,36,20
143,0,930.1863921,72,19
144,0,424.4030106,38,17
145,0,1098.197481,67,29
146,0,440.7490893,47,18
147,0,262.6573354,38,13
148,0,6696.08194,227,88
149,0,1677.170693,51,47
150,0,3194.310824,74,53
151,0,3068.302508,80,51
152,0,634.4168714,53,19
153,0,322.8963111,25,18
154,0,439.2789924,28,26
155,0,486.5321111,55,14
156,0,4710.435888,198,64
157,0,2471.163096,84,50
158,0,3001.448095,113,38
159,0,612.5404276,34,31
160,0,2742.431,75,55
161,0,18472.46918,438,123
162,0,7517.621162,106,92
163,0,10753.58474,203,94
164,0,535.955373,42,18
165,0,325.3814751,34,12
166,0,403.2266129,27,23
167,0,487.7921942,39,21
168,0,523.6345599,54,20
169,0,9583.3525,249,80
170,0,3004.038266,147,41
171,0,656.6433384,48,22
172,0,491.7474553,26,24
173,0,1462.641534,49,41
174,0,3583.676522,119,42
175,0,11397.31222,310,80
176,0,1603.48827,93,35
177,0,3504.711311,130,57
178,0,2771.06289,112,49
179,0,987.3451646,38,31
180,0,9973.138226,131,115
181,0,693.3257595,46,24
182,0,709.5668313,52,26
183,0,1301.525901,49,35
184,0,993.5055711,74,20
185,0,856.2965154,52,31
186,0,1058.469859,59,27
187,0,92585.87066,570,330
188,0,12199.84519,386,85
189,0,10890.47877,211,98
190,0,1567.543458,67,32
191,0,686.5064859,53,22
192,0,16964.63966,313,92
193,0,5528.124856,133,60
194,0,14914.34434,270,119
195,0,1351.36919,65,34
196,0,1776.997282,68,44
197,0,2348.79502,100,44
198,0,2573.369842,112,38
199,0,1373.210632,73,35
200,0,1516.580094,60,33
201,0,2123.660161,61,46
